word,sentiment
didn,neutral
operandi,neutral
cost,neutral
presden,neutral
iphone,neutral
garansi,neutral
berita,neutral
halal,neutral
habya,neutral
joking,neutral
must,neutral
supermewah,neutral
ibliiis,neutral
ll,neutral
begawan,neutral
majubersamaastacita,neutral
personel,neutral
panen,neutral
akurat,neutral
elaahhh,neutral
komika,neutral
actually,neutral
wargax,neutral
pacts,neutral
abdullah,neutral
koran,neutral
opo,neutral
kdm,neutral
jual,neutral
nihhhhh,neutral
suruh,neutral
sambung,neutral
pngusha,neutral
mangkin,neutral
mutu,neutral
feasible,neutral
wkwkwkw,neutral
residen,neutral
allowance,neutral
kejut,neutral
ripah,neutral
marks,neutral
sri,neutral
paviliun,neutral
sis,neutral
sgera,neutral
grown,neutral
dusun,neutral
baju,neutral
ruf,neutral
ngebacot,neutral
iri,neutral
pohon,neutral
street,neutral
bakrie,neutral
marketing,neutral
mercusuar,neutral
wabah,neutral
al,neutral
pinokio,neutral
congor,neutral
inovasi,neutral
being,neutral
gembar,neutral
timeline,neutral
neokonservatif,neutral
otomotif,neutral
mochtar,neutral
founder,neutral
zoom,neutral
omnibuslaw,neutral
cekik,neutral
tinjau,neutral
sebut,neutral
aura,neutral
rover,neutral
ingat,neutral
bebal,neutral
tetanggasialan,neutral
profesional,neutral
spesialis,neutral
goblokin,neutral
gestok,neutral
kod,neutral
presid,neutral
gandhi,neutral
ancam,neutral
steven,neutral
becomes,neutral
bandung,neutral
ayam,neutral
problem,neutral
jubir,neutral
starmer,neutral
tanya,neutral
gimanah,neutral
wkwkwkwk,neutral
subur,neutral
kontribusi,neutral
teruuuuss,neutral
duit,neutral
pip,neutral
rudapaksa,neutral
hianad,neutral
identik,neutral
dinas,neutral
suka,neutral
eksekutif,neutral
kinerjaprabowoterbukti,neutral
noted,neutral
bison,neutral
mentok,neutral
kocak,neutral
mantri,neutral
comedian,neutral
airlangga,neutral
betul,neutral
pppk,neutral
lus,neutral
com,neutral
ngawur,neutral
serep,neutral
akibat,neutral
dati,neutral
mengwi,neutral
markedly,neutral
budokter,neutral
otonomi,neutral
live,neutral
untung,neutral
tulang,neutral
kkm,neutral
pinokowi,neutral
pacar,neutral
polri,neutral
diks,neutral
slogan,neutral
papar,neutral
ricuh,neutral
habis,neutral
hadir,neutral
cil,neutral
sepakat,neutral
rating,neutral
stream,neutral
kolam,neutral
berkat,neutral
ndakik,neutral
kont,neutral
citra,neutral
trem,neutral
mula,neutral
has,neutral
self,neutral
aplagi,neutral
hammas,neutral
bosok,neutral
udang,neutral
takluk,neutral
wilayah,neutral
tegak,neutral
kibul,neutral
tekstil,neutral
vitamin,neutral
pasien,neutral
doktif,neutral
mineral,neutral
sarang,neutral
ketumbar,neutral
mr,neutral
modin,neutral
tugas,neutral
ngalor,neutral
